,content
0,RT leonardkl: Are you getting healthinsurance for the first time beginning Jan. 1? I'd love to interview you for a usnews story! Let me …
1,RT leonardkl: Millions have signed up for health insurance under HealthCareGov for the first time. Are you one of them? Let us know for a…
2,"Sure, we all get nervous sometimes. But how to do you tell nerves from anxiety? http://ow.ly/GBsKQ"
3,Going gray early? Here's how to stop it. http://ow.ly/GBH83
4,RT AnnaMedaris: Have you tried a dance party fitness class like DAYBREAKER or MorningGloryville? Let me know know! amiller[at]http://t…
5,"RT AnnaMedaris: Strapped for a New Year's resolution? I got your back. ""8 Resolutions Health Experts Want You to Make"" http://t.co/Ni4lp…"
6,"RT kimacastro: In just one week, USNewsHealth will reveal who topped the Best Diets of 2015 rankings: http://health.usnews.com/best-diet  BestDiets"
7,"Mental health can play a large role in weight loss, and some gyms have even started hiring psychologists. http://ow.ly/GCktE"
8,"If your spouse is diagnosed with a critical illness, here's how you can help. http://ow.ly/GCpuJ"
9,Poetry is helping people fight dementia. http://ow.ly/GCxhW
10,People love to go nuts on New Years Eve – but why? http://ow.ly/GDzqw
11,Want to lose weight in 2015? Join our Twitter chat on 1/7 at 8 p.m. to learn how wearable tech can help. http://ow.ly/GErp9 USNTechChat
12,Getting the body you want is important – and sometimes that means gaining weight. http://ow.ly/GEDcB
13,"From everyone at U.S. News, we wish you a happy and a healthy new year."
14,"If your resolution is to quit smoking, your smartphone can help! akhanmedia shows you how. http://ow.ly/GFl8m"
15,Party too hard last night? Here's how to get rid of your hangover. http://ow.ly/GFv29
16,Is losing weight part of your 2015 resolution? Join our USNTechChat on 1/7 at 8pm to see how wearable tech can help! http://ow.ly/GFHsE
17,"2015 is here – and that means it's time to say hello to these food trends, courtesy of FrancesLRothRD. http://ow.ly/GFQYA"
18,The cold days of winter got you down? Tobyamidor shows you 5 foods that can improve your mood. http://ow.ly/GG1jE
19,RT angelahaupt: Forget that New Year's resolution. Think theme instead: http://t.usnews.com/Z5fn3q
20,"RT usnews: Healthy fido, healthy family: http://ow.ly/ESJ6e http://pbs.twimg.com/media/B3vPlacCIAEr2Gi.jpg"
21,RT Steph_Steinberg: Made a resolution to eat healthier or lose weight? Check here Tuesday to find out the BestDiets of 2015: http://t.co/…
22,Everything we know about preventing cancer might have just gone out the window. http://ow.ly/GHpWq
23,"Kimatni dropped 50 pounds, all for his kids. What's your inspiration? http://ow.ly/GHPoY BestDiets"
24,"Want to lose weight in 2015? Don't know which diet to use? Our BestDiets rankings, coming on January 6th, will answer all your questions."
25,RT angelahaupt: They had to gain weight to stay alive – 5 eating disorder survivors share their stories: http://t.usnews.com/Z5d2p0
26,"Don't forget to join us, MyLively, PolarGlobal, MicrosoftMD and RobertPearlMD for our USNTechChat on wearable fitness! 1/7 at 8pm."
27,RT usnews: Gaining weight to stay alive: 5 eatingdisorder survivors share their stories http://ow.ly/GIdvg http://pbs.twimg.com/media/B6XuA2_CYAAsYkl.jpg
28,"For people with COPD, nutrition is everything. http://ow.ly/GIEe6"
29,The psychological problems that come with HIV can be just as devastating as the disease itself. http://ow.ly/GIEno
30,Do you know the difference between rheumatoid and osteoarthritis? http://ow.ly/GIEta
31,"Instead of a New Years resolution, why not a New Years theme?http://ow.ly/GIEH2"
32,.@KeriGans breaks down the most Googled diets of 2014. http://ow.ly/GIESZ
33,"Want to restart your health?  Just ditch these 5 foods, DrMikeRoizen says. http://ow.ly/GJLay"
34,"When your husband or wife becomes critically ill, how do you transition from spouse to caregiver? http://ow.ly/GJZ2x"
35,Psychology is a big part of weight loss – and gyms are starting to notice. http://ow.ly/GKcIG
36,Most people try to lose weight. Ray wanted to gain. Check out his video to see how putting on 80lbs changed his life. http://ow.ly/GKlWG
37,Don't know how to start losing weight? Get ready for our BestDiets launch on Tuesday!
38,Weather got you down? TobyAmidor shows you 5 foods to bust the blues. http://ow.ly/GKm6o
39,"When dementia strikes, creativity may be the best medicine. http://ow.ly/GKmdd"
40,Looking good can be deadly. http://ow.ly/GKmlU
41,RT bcuban: Five eating disorder survivors share the pain and triumph of the path to recovery by AnnaMedaris: http://bit.ly/1xBCrhB
42,Trying to lose weight? Join our USNTechChat on 1/7 at 8pm to see how wearable fitness can help! http://ow.ly/GLCVU
43,Get ready – our BestDiets rankings are coming this Tuesday!
44,Having trouble getting up in the morning? Follow these tip to go from night owl to early bird. http://ow.ly/GLQmX
45,We all get nervous sometimes – but could your nerves actually be anxiety? CraneKristine shows you the difference. http://ow.ly/GM9Ir
46,"RT usnews: Our 2015 BestDiets rankings launch Tuesday. But first, a look at last year's winners: http://ow.ly/GIKnR http://t.co/vw1oi…"
47,RT Steph_Steinberg: Unlocking the Inner Poet: How Poetry Helps People With Dementia http://t.usnews.com/Z56h82 by CraneKristine
48,We're 5 days into 2015 – how's your resolution going? Slipped up? ScritchfieldRD shows you how to get back on track. http://ow.ly/GOf7x
49,"RT angelahaupt: 35 contenders, one Best Diet. Find out which it is tomorrow: http://health.usnews.com/best-diet BestDiets"
50,RT AKhanMedia: The U.S.may not be prepared to handle the growing number of adults with autism. http://t.usnews.com/Z5e60b
51,"Our 2015 BestDiets rankings launch TOMORROW. But first, a look at last year's winners: http://ow.ly/GPhgu"
52,Is this place a night club or a gym? AnnaMedaris explores the growing trend of dance parties at gyms. http://ow.ly/GPGPB
53,Did you know poetry may help people with dementia? http://t.usnews.com/Z56h82
54,"BestDiets 2015 is coming tomorrow! While you wait, check out the winners from last year. http://ow.ly/GQjw8"
55,Have you checked your home for these burn hazards? http://ow.ly/GQjDS
56,Tune in to GMA tomorrow at 8:04am EST to see angelahaupt discuss our BestDiets!
57,Giving birth without the hospital? CraneKristine explores the growing trend of midwifery. http://ow.ly/GQjJi
